"Source","Target","Type"
"963266","940769","directed"
"795550","255700","directed"
"42569","152384","directed"
"942164","423645","directed"
"299996","877357","directed"
"522016","618617","directed"
"152306","515870","directed"
"456962","103760","directed"
"696922","639309","directed"
"887316","678955","directed"
"289784","938675","directed"
"43742","423645","directed"
"42569","216235","directed"
"304090","456962","directed"
"522016","116468","directed"
"994130","260584","directed"
"851217","37750","directed"
"582779","265435","directed"
"250385","765152","directed"
"522016","103760","directed"
"96632","853287","directed"
"851217","710194","directed"
"11243","257016","directed"
"289784","11243","directed"
"101561","308447","directed"
"779990","651618","directed"
"764841","515870","directed"
"988025","994130","directed"
"390067","423645","directed"
"205667","962816","directed"
"423645","456962","directed"
"70094","872692","directed"
"515870","594437","directed"
"716278","149274","directed"
"617278","832516","directed"
"572043","713941","directed"
"43664","694113","directed"
"933161","255700","directed"
"881854","454150","directed"
"389100","877357","directed"
"613715","232151","directed"
"136687","652188","directed"
"20289","832516","directed"
"385871","304354","directed"
"153528","42240","directed"
"740163","876130","directed"
"420520","719045","directed"
"205667","395069","directed"
"226769","618617","directed"
"876130","740163","directed"
"168999","517906","directed"
"686816","976245","directed"
"877738","515870","directed"
"696922","226769","directed"
"152384","779990","directed"
"250385","326017","directed"
"722859","938675","directed"
"598170","232688","directed"
"37750","152306","directed"
